MagX:,MagY:,MagZ:,Mag:,is data good?,try it myself,is data good?,,,,,,,
-476,21,-142,399.647,TRUE,497.1730081,TRUE,,,,,,,
-478,17,-129,399.647,TRUE,495.3927735,TRUE,,,,,,,
-493,10,-118,399.647,TRUE,507.0236681,TRUE,,,,,,,
-503,-11,-118,399.647,TRUE,516.7726773,TRUE,,,,,,,
-516,-29,-116,399.647,TRUE,529.6725403,TRUE,,,,,,,
-518,-48,-113,399.647,TRUE,532.3504485,TRUE,,,,,,,
-525,-57,-110,399.647,TRUE,539.420059,TRUE,,,,,,,
-528,-73,-106,399.647,TRUE,543.4602101,TRUE,,,,,,,
-532,-87,-98,399.647,TRUE,547.9023636,TRUE,,,,,,,
-530,-101,-94,399.647,TRUE,547.6650436,TRUE,,,,,,,
-529,-106,-87,399.647,TRUE,546.4851325,TRUE,,,,,,,
-530,-110,-83,399.647,TRUE,547.6212195,TRUE,,,,,,,
-529,-108,-82,399.647,TRUE,546.10347,TRUE,,,,,,,
-529,-112,-80,399.647,TRUE,546.612294,TRUE,,,,,,,
-529,-113,-80,399.647,TRUE,546.8180685,TRUE,,,,,,,
-528,-115,-78,399.647,TRUE,545.9789373,TRUE,,,,,,,
-527,-113,-78,399.647,TRUE,544.5934263,TRUE,,,,,,,
-527,-112,-76,399.647,TRUE,544.1038504,TRUE,,,,,,,
-527,-114,-76,399.647,TRUE,544.5190538,TRUE,,,,,,,
-529,-117,-74,399.647,TRUE,546.8144109,TRUE,,,,,,,
-527,-118,-74,399.647,TRUE,545.0954045,TRUE,,,,,,,
-527,-117,-73,399.647,TRUE,544.7448944,TRUE,,,,,,,
-526,-117,-67,399.647,TRUE,543.004604,TRUE,,,,,,,
-526,-121,-71,399.647,TRUE,544.3877295,TRUE,,,,,,,
-527,-120,-69,399.647,TRUE,544.8761327,TRUE,,,,,,,
-525,-122,-68,399.647,TRUE,543.2614472,TRUE,,,,,,,
-525,-121,-68,399.647,TRUE,543.0377519,TRUE,,,,,,,
-525,-120,-66,399.647,TRUE,542.5688896,TRUE,,,,,,,
-526,-119,-66,399.647,TRUE,543.3166664,TRUE,,,,,,,
-526,-121,-67,399.647,TRUE,543.8805016,TRUE,,,,,,,
-526,-123,-66,399.647,TRUE,544.2067622,TRUE,,,,,,,
-525,-123,-65,399.647,TRUE,543.1196921,TRUE,,,,,,,
-521,-123,-64,399.647,TRUE,539.1344916,TRUE,,,,,,,
-524,-121,-62,399.647,TRUE,541.3510876,TRUE,,,,,,,
-526,-122,-66,399.647,TRUE,543.9816173,TRUE,,,,,,,
-525,-123,-67,399.647,TRUE,543.3626781,TRUE,,,,,,,
-525,-124,-66,399.647,TRUE,543.4675703,TRUE,,,,,,,
-525,-121,-63,399.647,TRUE,542.4343278,TRUE,,,,,,,
-526,-124,-62,399.647,TRUE,543.9632341,TRUE,,,,,,,
-525,-128,-60,399.647,TRUE,543.6993655,TRUE,,,,,,,
-524,-129,-57,399.647,TRUE,542.647215,TRUE,,,,,,,
-524,-127,-53,399.647,TRUE,541.7693236,TRUE,,,,,,,
-520,-126,-56,399.647,TRUE,537.9702594,TRUE,,,,,,,
-520,-116,-59,399.647,TRUE,536.0382449,TRUE,,,,,,,
-517,-115,-53,399.647,TRUE,532.2809409,TRUE,,,,,,,
-522,-112,-59,399.647,TRUE,537.130338,TRUE,,,,,,,
-523,-112,-67,399.647,TRUE,539.0380321,TRUE,,,,,,,
-523,-109,-78,399.647,TRUE,539.9018429,TRUE,,,,,,,
-523,-107,-80,399.647,TRUE,539.7944053,TRUE,,,,,,,
-524,-107,-86,399.647,TRUE,541.6834869,TRUE,,,,,,,
-524,-100,-88,399.647,TRUE,540.6662557,TRUE,,,,,,,
-524,-109,-86,399.647,TRUE,542.0820971,TRUE,,,,,,,
-523,-106,-90,399.647,TRUE,541.1700287,TRUE,,,,,,,
-523,-102,-82,399.647,TRUE,539.1261448,TRUE,,,,,,,
-516,-101,-83,399.647,TRUE,532.3025456,TRUE,,,,,,,
-511,-77,-95,399.647,TRUE,525.4283966,TRUE,,,,,,,
-482,-61,-93,399.647,TRUE,494.6655436,TRUE,,,,,,,
-466,-14,-107,399.647,TRUE,478.331475,TRUE,,,,,,,
-442,9,-114,399.647,TRUE,456.5533923,TRUE,,,,,,,
-440,36,-107,399.647,TRUE,454.2521326,TRUE,,,,,,,
-440,41,-115,399.647,TRUE,456.6245723,TRUE,,,,,,,
-447,44,-124,399.647,TRUE,465.9624448,TRUE,,,,,,,
-452,38,-139,399.647,TRUE,474.4143758,TRUE,,,,,,,
-454,36,-150,399.647,TRUE,479.4913972,TRUE,,,,,,,
-453,33,-150,399.647,TRUE,478.3283391,TRUE,,,,,,,
